barangay_name,total_population,male,female,households,employed,unemployed,with_electricity,with_water,age_0_14,age_15_64,age_65_plus
Barangay 2,1947,936,1011,548,638,1309,1,1,561,1080,306
Barangay 2,1439,703,736,358,373,1066,1,1,335,918,186
Barangay 1,2068,1055,1013,623,822,1246,1,1,480,1374,214
Barangay 2,2768,1338,1430,866,1513,1255,1,1,856,1745,167
Barangay 7,1362,658,704,379,640,722,1,1,416,758,188
Barangay 4,1362,695,667,274,748,614,1,1,329,878,155
Barangay 6,2813,1368,1445,758,1363,1450,1,1,787,1650,376
Barangay 8,2163,1071,1092,434,1025,1138,1,1,706,1441,16
Barangay 4,1174,602,572,254,458,716,1,1,395,745,34
Barangay 6,1984,969,1015,496,1110,874,1,1,475,1164,345
Barangay 9,1179,591,588,262,471,708,1,1,274,824,81
Barangay 9,1177,588,589,260,648,529,1,1,375,721,81
Barangay 2,1743,863,880,415,721,1022,1,1,526,988,229
Barangay 9,80,40,40,17,29,51,1,1,17,44,19
Barangay 5,170,88,82,37,72,98,1,1,55,106,9
Barangay 4,1100,534,566,243,482,618,1,1,300,623,177
Barangay 6,739,380,359,158,264,475,1,1,245,511,-17
Barangay 2,1801,917,884,388,1066,735,1,1,538,1246,17
Barangay 3,823,403,420,173,327,496,1,1,252,501,70
Barangay 6,420,208,212,104,122,298,1,1,105,268,47
Barangay 4,2722,1370,1352,903,1354,1368,1,1,571,1509,642
Barangay 6,1369,661,708,393,662,707,1,1,422,934,13
Barangay 10,1604,800,804,351,854,750,1,1,344,985,275
Barangay 7,410,203,207,86,110,300,1,1,106,246,58
Barangay 2,1114,545,569,329,453,661,1,1,269,654,191
Barangay 2,1638,815,823,346,725,913,1,1,565,1128,-55
Barangay 4,629,306,323,158,204,425,1,1,141,346,142
Barangay 7,1850,907,943,404,757,1093,1,1,412,1099,339
Barangay 1,1069,537,532,261,547,522,1,1,307,668,94
Barangay 9,1316,639,677,267,365,951,1,1,380,857,79
Barangay 4,1068,529,539,218,479,589,1,1,280,680,108
Barangay 9,3031,1493,1538,860,1468,1563,1,1,726,1726,579
Barangay 5,1539,766,773,316,888,651,1,1,451,976,112
Barangay 2,703,339,364,205,241,462,1,1,233,425,45
Barangay 3,2208,1098,1110,540,785,1423,1,1,750,1248,210
Barangay 3,573,281,292,119,292,281,1,1,138,333,102
Barangay 6,1717,838,879,402,587,1130,1,1,576,1162,-21
Barangay 2,117,59,58,25,31,86,1,1,34,68,15
Barangay 8,487,244,243,126,123,364,1,1,137,328,22
Barangay 10,1707,857,850,442,451,1256,1,1,571,992,144
Barangay 4,2140,1084,1056,577,954,1186,1,1,725,1252,163
Barangay 3,1687,875,812,365,942,745,1,1,523,1011,153
Barangay 7,1457,746,711,308,777,680,1,1,463,824,170
Barangay 1,1309,673,636,379,701,608,1,1,321,876,112
Barangay 4,367,179,188,84,142,225,1,1,126,217,24
Barangay 9,974,483,491,196,426,548,1,1,322,573,79
Barangay 10,1181,612,569,334,340,841,1,1,365,705,111
Barangay 10,2395,1243,1152,741,1352,1043,1,1,494,1473,428
Barangay 9,1824,943,881,447,915,909,1,1,482,1262,80
Barangay 6,139,70,69,32,40,99,1,1,41,83,15
Barangay 5,1809,908,901,534,873,936,1,1,528,1076,205
Barangay 9,1241,637,604,343,401,840,1,1,330,808,103
Barangay 9,1008,502,506,209,532,476,1,1,244,654,110
Barangay 10,2039,1006,1033,439,1045,994,1,1,654,1166,219
Barangay 1,2374,1162,1212,600,1299,1075,1,1,622,1529,223
Barangay 4,2295,1167,1128,609,894,1401,1,1,766,1558,-29
Barangay 2,878,448,430,255,466,412,1,1,249,603,26
Barangay 2,1302,648,654,282,629,673,1,1,380,856,66
Barangay 9,1815,902,913,377,737,1078,1,1,485,1202,128
Barangay 5,2330,1189,1141,576,1093,1237,1,1,493,1381,456
