order_id,order_date,product,quantity,unit_price,total,region
O1,2026-04-17,Gadget X,5,73.44,367.2,East
O2,2025-09-27,Gadget X,2,127.14,254.28,North
O3,2026-05-06,Gadget X,3,375.52,1126.56,North
O4,2026-03-23,Widget A,1,222.52,222.52,North
O5,2025-09-13,Gadget X,6,131.68,790.08,North
O6,2026-03-08,Gadget X,4,115.44,461.76,West
O7,2025-09-14,Widget B,5,235.62,1178.1,North
O8,2025-08-14,Widget B,6,355.11,2130.66,East
O9,2025-08-12,Widget B,2,123.35,246.7,North
O10,2025-07-11,Widget B,3,202.37,607.11,East
O11,2026-03-30,Widget A,4,146.97,587.88,West
O12,2026-02-23,Widget B,4,79.92,319.68,North
O13,2026-03-03,Gadget X,6,160.73,964.38,East
O14,2026-03-16,Widget A,2,112.3,224.6,North
O15,2026-04-28,Widget B,3,129.39,388.17,North
O16,2025-09-21,Widget B,3,435.91,1307.73,East
O17,2026-01-12,Widget B,5,325.13,1625.65,South
O18,2025-11-30,Gadget X,3,190.53,571.59,East
O19,2026-05-19,Gadget X,4,469.59,1878.36,North
O20,2026-04-01,Gadget X,2,324.79,649.58,South
O21,2025-08-16,Widget B,3,241.88,725.64,South
O22,2026-05-10,Widget A,2,175.66,351.32,South
O23,2025-06-10,Widget B,4,406.42,1625.68,East
O24,2025-06-27,Gadget X,5,121.27,606.35,East
O25,2025-09-10,Widget B,5,334.61,1673.05,West
O26,2025-08-06,Widget A,3,147.14,441.42,East
O27,2026-03-20,Gadget X,4,225.65,902.6,West
O28,2025-11-26,Widget A,5,125.27,626.35,West
O29,2025-07-10,Widget A,5,382.78,1913.9,South
O30,2026-04-11,Gadget X,4,96.79,387.16,West
O31,2026-03-26,Widget B,7,50.49,353.43,West
O32,2026-02-19,Gadget X,4,140.68,562.72,North
O33,2026-05-08,Gadget X,8,365.95,2927.6,East
O34,2026-04-18,Widget B,7,183.28,1282.96,West
O35,2025-08-13,Gadget X,8,237.79,1902.32,East
O36,2026-02-05,Gadget X,5,385.74,1928.7,North
O37,2026-04-10,Gadget X,1,163.25,163.25,South
O38,2025-08-11,Widget A,3,199.48,598.44,North
O39,2026-03-27,Widget A,5,175.59,877.95,North
O40,2025-11-26,Widget B,5,441.79,2208.95,South
O41,2025-06-23,Gadget X,7,135.62,949.34,North
O42,2025-07-07,Widget A,4,371.32,1485.28,South
O43,2025-07-29,Gadget X,7,336.68,2356.76,South
O44,2025-10-07,Gadget X,4,273.28,1093.12,West
O45,2025-09-10,Gadget X,3,465.88,1397.64,South
O46,2025-10-31,Gadget X,6,211.52,1269.12,East
O47,2026-01-04,Widget B,4,451.81,1807.24,North
O48,2025-09-28,Widget B,4,127.85,511.4,North
O49,2026-03-22,Gadget X,4,285.88,1143.52,South
O50,2025-05-28,Gadget X,3,54.08,162.24,North
O51,2025-09-19,Widget A,1,52.35,52.35,East
O52,2025-06-30,Widget B,3,266.79,800.37,West
O53,2025-09-11,Gadget X,2,278.83,557.66,West
O54,2025-09-26,Widget B,2,396.62,793.24,South
O55,2025-07-12,Widget B,5,66.53,332.65,East
O56,2025-12-27,Gadget X,5,217.33,1086.65,North
O57,2026-05-04,Gadget X,4,333.66,1334.64,North
O58,2025-06-25,Widget B,5,213.26,1066.3,North
O59,2025-09-29,Gadget X,3,111.96,335.88,West
O60,2025-08-04,Widget B,4,222.5,890.0,West
