barangay,total_population,employed,with_water
Barangay 2,435,163,1
Barangay 2,25,13,0
Barangay 1,705,422,1
Barangay 4,1724,996,1
Barangay 4,2288,1019,1
Barangay 3,813,464,1
Barangay 5,290,172,1
Barangay 5,1014,543,1
Barangay 8,1330,780,1
Barangay 1,1566,609,1
Barangay 6,2500,1156,0
Barangay 3,1356,644,0
Barangay 3,2213,1001,0
Barangay 4,942,301,1
Barangay 4,1271,740,1
Barangay 2,864,269,1
Barangay 6,811,385,1
Barangay 6,1061,383,1
Barangay 5,1051,440,1
Barangay 2,857,495,0
Barangay 2,890,432,0
Barangay 5,1878,683,1
Barangay 2,2487,1006,1
Barangay 3,920,377,1
Barangay 5,1025,474,1
Barangay 1,1534,914,1
Barangay 2,3132,1460,1
Barangay 2,1270,432,1
Barangay 3,1803,942,1
Barangay 6,2146,1033,1
Barangay 5,1426,699,1
Barangay 1,1775,666,0
Barangay 5,1584,676,0
Barangay 3,1839,735,1
Barangay 8,599,226,1
Barangay 1,1342,574,1
Barangay 3,1508,879,1
Barangay 3,1500,825,1
Barangay 6,1902,594,1
Barangay 1,1488,801,1
Barangay 4,533,193,1
Barangay 7,1574,639,1
Barangay 4,690,362,1
Barangay 3,800,474,1
Barangay 6,968,297,1
Barangay 4,1153,488,1
Barangay 2,293,157,1
Barangay 8,1890,588,1
Barangay 8,526,286,1
Barangay 4,2162,1180,1
Barangay 7,545,271,1
Barangay 5,1989,1112,1
Barangay 6,1202,544,1
Barangay 5,190,63,1
Barangay 5,594,349,0
Barangay 6,2015,965,1
Barangay 2,1489,586,1
Barangay 5,1172,554,0
Barangay 4,150,64,1
Barangay 6,2053,658,1
