student_id,project_score,quizzes
ST001,92,66
ST002,70,65
ST003,94,58
ST004,85,48
ST005,62,66
ST006,92,100
ST007,74,83
ST008,97,97
ST009,61,79
ST010,86,59
ST011,75,75
ST012,50,59
ST013,68,53
ST014,77,90
ST015,87,78
ST016,91,60
ST017,79,68
ST018,78,83
ST019,63,72
ST020,80,90
ST021,100,87
ST022,60,82
ST023,55,58
ST024,82,82
ST025,90,79
ST026,71,45
ST027,98,55
ST028,93,59
ST029,64,91
ST030,62,49
ST031,51,42
ST032,65,70
ST033,89,94
ST034,99,44
ST035,79,66
ST036,90,76
ST037,62,85
ST038,94,64
ST039,81,65
ST040,65,49
ST041,91,84
ST042,50,97
ST043,98,95
ST044,99,96
ST045,56,89
ST046,77,54
ST047,61,91
ST048,94,73
ST049,79,43
ST050,85,55
ST051,57,69
ST052,58,91
ST053,79,82
ST054,83,75
ST055,88,60
ST056,98,97
ST057,78,79
ST058,96,97
ST059,82,67
ST060,85,68
