record_id,barangay,city,households,population,median_income,collection_date
384,Rizal,Davao City,177.0,885.0,28656.0,2024-11-05
776,Maligaya,Cebu City,202.0,1010.0,16365.0,2025-04-04
792,Sta. Cruz,Bacolod City,211.0,1055.0,12689.0,2025-02-11
132,Poblacion,Davao City,234.0,1170.0,18271.0,2024-08-19
465,Sta. Cruz,Pasig,222.0,1110.0,19486.0,2025-06-26
589,Bayanihan,Pasig,197.0,788.0,26009.0,2025-05-03
954,Del Pilar,Pasig,193.0,772.0,18280.0,2025-11-21
838,Magsaysay,Quezon City,,,,2025-08-28
457,Mabini,Pasig,205.0,820.0,32462.0,2026-05-05
25,Del Pilar,Cebu City,183.0,732.0,27134.0,2026-04-30
4,Rizal,Iloilo City,185.0,740.0,23736.0,2025-10-02
422,Poblacion,Iloilo City,194.0,582.0,24161.0,2025-08-23
992,Poblacion,Pasig,203.0,609.0,16590.0,2025-03-03
260,San Isidro,Quezon City,191.0,764.0,29666.0,2024-06-18
428,Rizal,Iloilo City,209.0,627.0,13165.0,2025-01-11
817,Maligaya,Cebu City,211.0,844.0,28852.0,2024-09-28
259,Del Pilar,Davao City,209.0,836.0,22723.0,2024-07-29
434,Mabini,Iloilo City,182.0,910.0,11778.0,2025-01-17
272,Magsaysay,Pasig,176.0,528.0,28838.0,2025-10-06
237,Bayanihan,Cebu City,204.0,612.0,14844.0,2025-09-26
947,Maligaya,Quezon City,187.0,561.0,20773.0,2024-08-22
75,San Jose,Bacolod City,206.0,824.0,8000.0,2026-04-26
87,San Isidro,Pasig,201.0,603.0,15845.0,2024-09-12
836,San Isidro,Iloilo City,215.0,645.0,14192.0,2026-04-06
23,Mabini,Cebu City,211.0,633.0,8000.0,2024-07-16
719,Bagong Silang,Iloilo City,188.0,564.0,29433.0,2025-06-26
296,Del Pilar,Bacolod City,210.0,1050.0,15934.0,2024-09-19
813,San Jose,Bacolod City,180.0,900.0,21778.0,2025-10-01
153,San Isidro,Cebu City,220.0,1100.0,20286.0,2025-07-07
537,Mabini,Davao City,189.0,756.0,15089.0,2025-04-14
438,Bayanihan,Bacolod City,216.0,1080.0,15840.0,2025-04-15
998,Maligaya,Cebu City,193.0,579.0,8000.0,2024-11-01
777,Bayanihan,Pasig,181.0,543.0,18683.0,2026-03-31
309,Poblacion,Cebu City,203.0,1015.0,30448.0,2026-03-15
369,Poblacion,Davao City,208.0,1040.0,15623.0,2024-09-17
604,San Miguel,Iloilo City,228.0,912.0,22418.0,2026-04-05
155,San Jose,Davao City,196.0,784.0,16972.0,2024-08-21
943,San Isidro,Davao City,205.0,615.0,8000.0,2025-09-04
790,Del Pilar,Cebu City,221.0,663.0,9199.0,2024-11-03
254,Maligaya,Cebu City,200.0,1000.0,27701.0,2025-06-14
573,Poblacion,Quezon City,192.0,768.0,28514.0,2026-04-15
997,Maligaya,Quezon City,188.0,752.0,13512.0,2026-04-03
495,San Jose,Iloilo City,192.0,576.0,24006.0,2025-06-19
652,San Jose,Iloilo City,219.0,657.0,12493.0,2024-12-20
467,Bagong Silang,Cebu City,181.0,905.0,20145.0,2025-06-28
51,Sta. Cruz,Iloilo City,175.0,875.0,8000.0,2025-07-27
519,San Jose,Cebu City,191.0,955.0,20814.0,2024-09-09
367,Del Pilar,Iloilo City,189.0,756.0,11408.0,2026-01-26
333,Bayanihan,Bacolod City,194.0,582.0,8000.0,2024-08-06
308,Bayanihan,Pasig,191.0,764.0,13066.0,2024-09-24
832,Del Pilar,Pasig,183.0,915.0,23803.0,2025-02-12
