order_id,order_date,customer_id,product_name,category,quantity,unit_price,total_amount,region,status
ORD1000,2025-10-11,C653,Widget A,General,2,536.98,1073.96,South,completed
ORD1001,2025-09-20,C256,Widget B,General,4,605.4,2421.6,North,pending
ORD1002,2025-12-19,C577,Gadget Y,General,4,529.78,2119.12,North,completed
ORD1003,2025-12-26,C888,Service Z,General,6,614.74,3688.44,North,returned
ORD1004,2025-12-05,C460,Gadget X,General,1,741.62,741.62,West,pending
ORD1005,2026-02-24,C659,Service Z,General,2,1133.9,2267.8,South,pending
ORD1006,2025-09-14,C597,Widget A,General,5,445.76,2228.8,West,pending
ORD1007,2026-05-02,C514,Widget B,General,4,1034.76,4139.04,West,completed
ORD1008,2026-04-08,C503,Service Z,General,2,824.48,1648.96,North,completed
ORD1009,2026-04-19,C987,Gadget Y,General,8,671.49,5371.92,South,completed
ORD1010,2025-10-05,C316,Gadget Y,General,4,599.7,2398.8,East,pending
ORD1011,2025-12-05,C951,Gadget Y,General,5,453.47,2267.35,East,completed
ORD1012,2026-01-20,C652,Widget A,General,3,78.11,234.33,East,completed
ORD1013,2026-04-22,C767,Widget A,General,2,149.5,299.0,North,completed
ORD1014,2025-09-04,C736,Widget B,General,5,1266.88,6334.4,South,completed
ORD1015,2026-01-22,C677,Widget B,General,5,1020.72,5103.6,West,returned
ORD1016,2025-10-03,C271,Service Z,General,2,1162.0,2324.0,North,completed
ORD1017,2025-10-31,C126,Gadget X,General,3,206.74,620.22,West,pending
ORD1018,2025-09-03,C807,Widget B,General,4,160.19,640.76,North,returned
ORD1019,2025-10-26,C714,Widget A,General,6,1282.93,7697.58,North,pending
ORD1020,2026-02-21,C479,Widget A,General,6,671.15,4026.9,East,completed
ORD1021,2025-12-26,C208,Gadget Y,General,4,1242.38,4969.52,East,returned
ORD1022,2026-01-15,C545,Widget B,General,3,1075.6,3226.8,East,returned
ORD1023,2026-02-24,C576,Gadget Y,General,4,1173.23,4692.92,East,pending
ORD1024,2025-09-27,C188,Gadget X,General,4,1254.56,5018.24,West,completed
ORD1025,2026-01-17,C784,Gadget Y,General,2,876.28,1752.56,East,completed
ORD1026,2026-02-02,C286,Gadget Y,General,7,1283.88,8987.16,South,pending
ORD1027,2025-10-04,C710,Gadget X,General,2,543.49,1086.98,North,returned
ORD1028,2025-08-30,C837,Gadget Y,General,6,174.14,1044.84,West,returned
ORD1029,2025-09-25,C761,Gadget Y,General,5,1051.38,5256.9,West,completed
ORD1030,2025-07-11,C514,Widget B,General,4,476.64,1906.56,East,returned
ORD1031,2026-03-18,C666,Service Z,General,3,585.08,1755.24,East,pending
ORD1032,2026-03-02,C819,Gadget Y,General,4,529.65,2118.6,East,pending
ORD1033,2025-09-30,C838,Widget B,General,3,384.28,1152.84,East,completed
ORD1034,2026-02-23,C806,Widget B,General,7,1428.77,10001.39,South,completed
ORD1035,2026-01-27,C703,Service Z,General,3,450.92,1352.76,East,completed
ORD1036,2025-09-01,C469,Widget B,General,7,479.56,3356.92,East,completed
ORD1037,2026-05-22,C380,Widget A,General,4,824.5,3298.0,North,returned
ORD1038,2025-10-21,C229,Gadget Y,General,1,1061.26,1061.26,North,completed
ORD1039,2026-03-14,C590,Gadget Y,General,6,462.29,2773.74,East,completed
ORD1040,2025-06-20,C982,Gadget Y,General,1,416.09,416.09,North,completed
ORD1041,2025-12-16,C690,Widget A,General,7,763.03,5341.21,South,completed
ORD1042,2026-03-09,C187,Widget B,General,3,1426.23,4278.69,North,returned
ORD1043,2025-12-24,C909,Service Z,General,5,929.16,4645.8,South,returned
ORD1044,2025-12-05,C553,Gadget X,General,4,703.25,2813.0,West,pending
ORD1045,2026-03-12,C724,Widget A,General,6,950.49,5702.94,South,returned
ORD1046,2025-09-10,C183,Widget B,General,9,433.74,3903.66,South,completed
ORD1047,2026-03-03,C102,Gadget Y,General,5,158.84,794.2,West,returned
ORD1048,2026-03-25,C133,Widget B,General,2,731.37,1462.74,East,returned
ORD1049,2025-10-16,C564,Widget A,General,4,1069.33,4277.32,South,pending
ORD1050,2026-04-10,C923,Widget B,General,1,905.19,905.19,West,completed
ORD1051,2026-02-27,C252,Gadget X,General,1,375.97,375.97,South,completed
ORD1052,2025-06-24,C414,Service Z,General,3,290.59,871.77,East,pending
ORD1053,2025-07-27,C411,Gadget Y,General,5,729.61,3648.05,East,returned
ORD1054,2026-02-25,C182,Service Z,General,2,766.0,1532.0,North,pending
ORD1055,2025-11-06,C126,Widget A,General,6,925.38,5552.28,South,returned
ORD1056,2026-03-15,C121,Gadget X,General,4,901.33,3605.32,North,completed
ORD1057,2026-01-20,C552,Gadget X,General,1,802.5,802.5,South,returned
ORD1058,2026-01-03,C603,Widget A,General,5,970.44,4852.2,West,pending
ORD1059,2025-12-20,C786,Widget A,General,2,533.3,1066.6,South,pending
