student_id,school_year,grade_level,section,gender,age,barangay,enrollment_status,scholarship,guardian_income
S3000,2023-2024,Grade 7,C,M,16,Barangay 8,dropped,no,13504
S3001,2022-2023,Grade 2,C,M,15,Barangay 2,enrolled,no,6509
S3002,2023-2024,Grade 10,B,F,15,Barangay 8,dropped,no,8814
S3003,2022-2023,Grade 12,C,M,19,Barangay 7,dropped,yes,16745
S3004,2022-2023,Grade 7,B,F,18,Barangay 7,enrolled,no,23442
S3005,2023-2024,Grade 7,C,F,16,Barangay 6,enrolled,no,8008
S3006,2023-2024,Grade 2,A,M,20,Barangay 7,enrolled,yes,33994
S3007,2023-2024,Grade 3,C,F,21,Barangay 2,dropped,yes,11475
S3008,2023-2024,Grade 11,C,M,14,Barangay 5,dropped,no,11895
S3009,2023-2024,Grade 2,A,F,13,Barangay 4,enrolled,yes,26165
S3010,2023-2024,Grade 9,A,F,19,Barangay 10,enrolled,no,310
S3011,2023-2024,Grade 9,C,F,17,Barangay 1,enrolled,yes,15221
S3012,2023-2024,Grade 12,B,F,16,Barangay 1,enrolled,no,12108
S3013,2022-2023,Grade 10,A,M,15,Barangay 1,enrolled,no,11335
S3014,2022-2023,Grade 7,B,F,15,Barangay 3,dropped,no,11944
S3015,2023-2024,Grade 12,C,M,15,Barangay 1,enrolled,no,8371
S3016,2022-2023,Grade 10,C,M,19,Barangay 5,dropped,yes,5022
S3017,2023-2024,Grade 8,B,F,16,Barangay 4,enrolled,no,18122
S3018,2023-2024,Grade 7,B,F,17,Barangay 9,dropped,yes,16898
S3019,2022-2023,Grade 4,C,M,15,Barangay 1,enrolled,no,9207
S3020,2023-2024,Grade 4,B,F,17,Barangay 6,enrolled,yes,19226
S3021,2022-2023,Grade 8,A,M,21,Barangay 7,enrolled,no,31346
S3022,2023-2024,Grade 2,C,M,14,Barangay 7,enrolled,no,22464
S3023,2023-2024,Grade 2,C,F,13,Barangay 10,dropped,no,10483
S3024,2023-2024,Grade 5,B,M,8,Barangay 6,enrolled,yes,17238
S3025,2023-2024,Grade 12,A,F,16,Barangay 2,enrolled,no,11331
S3026,2023-2024,Grade 10,C,M,19,Barangay 7,dropped,no,2805
S3027,2023-2024,Grade 4,A,M,17,Barangay 9,enrolled,no,5886
S3028,2022-2023,Grade 6,C,M,12,Barangay 4,enrolled,no,37270
S3029,2022-2023,Grade 5,A,M,15,Barangay 2,enrolled,yes,13811
S3030,2023-2024,Grade 8,C,F,19,Barangay 6,enrolled,no,10184
S3031,2023-2024,Grade 2,B,F,19,Barangay 5,enrolled,no,23850
S3032,2023-2024,Grade 9,B,F,24,Barangay 8,enrolled,yes,9213
S3033,2022-2023,Grade 6,A,M,13,Barangay 10,dropped,no,838
S3034,2023-2024,Grade 10,B,M,17,Barangay 6,dropped,yes,16357
S3035,2022-2023,Grade 1,A,F,21,Barangay 2,enrolled,no,18904
S3036,2022-2023,Grade 4,B,M,17,Barangay 6,dropped,no,14041
S3037,2023-2024,Grade 7,B,M,18,Barangay 6,enrolled,no,10243
S3038,2023-2024,Grade 2,B,F,16,Barangay 10,enrolled,no,12452
S3039,2023-2024,Grade 2,B,F,20,Barangay 7,enrolled,yes,19347
S3040,2022-2023,Grade 5,C,F,18,Barangay 3,enrolled,no,2664
S3041,2023-2024,Grade 9,A,F,19,Barangay 5,enrolled,no,12838
S3042,2022-2023,Grade 6,A,M,20,Barangay 3,enrolled,no,12999
S3043,2022-2023,Grade 5,C,M,10,Barangay 6,enrolled,yes,9588
S3044,2023-2024,Grade 3,A,M,14,Barangay 8,enrolled,yes,23412
S3045,2023-2024,Grade 6,B,F,17,Barangay 8,enrolled,yes,2357
S3046,2022-2023,Grade 5,A,F,19,Barangay 10,dropped,no,13086
S3047,2023-2024,Grade 5,C,F,17,Barangay 3,enrolled,no,22139
S3048,2022-2023,Grade 5,C,F,17,Barangay 6,enrolled,yes,7921
S3049,2022-2023,Grade 5,A,F,18,Barangay 8,enrolled,yes,16321
S3050,2023-2024,Grade 2,B,F,15,Barangay 1,dropped,yes,8001
S3051,2022-2023,Grade 7,A,F,20,Barangay 2,dropped,no,19075
S3052,2022-2023,Grade 1,A,F,17,Barangay 3,enrolled,no,22727
S3053,2022-2023,Grade 5,C,M,18,Barangay 8,dropped,no,11100
S3054,2022-2023,Grade 2,B,M,14,Barangay 3,dropped,yes,6268
S3055,2022-2023,Grade 5,B,M,18,Barangay 1,enrolled,yes,27078
S3056,2023-2024,Grade 11,A,M,19,Barangay 8,enrolled,no,12219
S3057,2022-2023,Grade 12,B,F,15,Barangay 1,dropped,yes,25295
S3058,2022-2023,Grade 10,A,M,15,Barangay 9,dropped,no,11580
S3059,2022-2023,Grade 9,B,F,19,Barangay 1,dropped,yes,22710
